软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
〔～首〕古代的一种礼节，跪下，拱手至地，头也至地。 | 稽
果决，志向坚定而不动摇 | 毅
姓。 | 嬴
古同“赢”，获胜。 | 嬴
古同“赢”，满，有余。 | 嬴
蝉或蛇等脱下来的皮 | 蜕
蛇、蝉等动物脱皮 | 蜕
鸟换毛。 | 蜕
解脱，变化 | 蜕
哺乳动物，与猴相似，比猴大，颊下没有囊，没有尾巴，猩猩、大猩猩、长臂猿等都是 | 猿
头，脑袋 | 首
领导的人，带头的 | 首
第一，最高 | 首
最先，最早 | 首
出头告发 | 首
量词，指诗和歌 | 首
姓。 | 首
蓝和黄混合成的颜色，一般草和树叶呈现这种颜色 | 绿
义同（一），专用于某些名词 | 绿
打手势叫人来 | 招
用公开的方式使人来 | 招
应接 | 招
引来 | 招
承认自己的罪行 | 招
同“着”。 | 招
摇动 | 招
有彩色花纹的丝织品 | 锦
鲜明美丽 | 锦
宗教徒或神话中称宇宙的创造者和主宰者 | 帝
君主 | 帝
头盔（古代战士戴的帽子） | 冑
帝王或贵族的后代 | 冑
泛指后代。 | 冑
姓。 | 冑
光洁像玉的石头。 | 莹
光洁，透明 | 莹
伴 | 侣
结为伴侣 | 侣
〔～药〕多年生草本植物，羽状复叶，小叶卵形或披针形。夏初开大花，供观赏，根可入药。简称“芍”，如“赤芍”、“白芍”。 | 芍
古书上指用以调味的紫苏之类的香草。 | 芗
同“香”。 | 芗
给予帮助使脱离危险或解脱困难 | 救
终止 | 救
结实，牢靠 | 固
坚定，不变动 | 固
本，原来 | 固
鄙陋（见识浅少）。 | 固
姓。 | 固
帮助，辅佐 | 丞
封建时代辅佐主要官员做事的官吏 | 丞
古同“承”，秉承。 | 丞
鸟向上飞 | 翥
葬 | 埋
把东西放在坑里用土、雪、落叶盖上 | 埋
隐藏 | 埋
〔～怨〕因为事情不如意而对人或事物表示不满、责怪（“怨”读轻声）。 | 埋
用珠子或玉石等穿起来做成的镯子 | 钏
土堆 | 埵
堤 | 埵
风箱上出风的铁管 | 埵
物体下垂的样子。 | 埵
人没有做坏事，硬说他做了坏事；把没有的事说成有 | 诬
明朗。 | 烺
甜，味道好 | 甘
美好 | 甘
自愿，乐意 | 甘
姓。 | 甘
古代指杂戏、滑稽戏 | 俳
演杂戏的艺人 | 俳
诙谐，玩笑，滑稽，幽默 | 俳
假使，如果 | 倘
同“徜”。 | 倘
〔～～〕形容撞击金属器物的声音，如“锣鼓～～”。 | 锵
（锵） | 锵
〔崔～〕见“崔”。 | 嵬
高大。 | 嵬
眨眼，眼球一动 | 瞬
极短的时间 | 瞬
因为别人好而忌恨 | 妒
中国周代诸侯国名，在今江苏省南部和浙江省北部，后扩展至淮河下游一带 | 吴
中国东汉末年三国之一 | 吴
泛指中国江苏省南部和浙江省北部一带 | 吴
姓。 | 吴
急躁 | 卞
姓。 | 卞
用手来回擦或搓 | 揉
团弄 | 揉
使木弯曲 | 揉
古同“柔”，使降顺。 | 揉
同“跗”。 | 趺
〔～坐〕佛教徒盘腿端坐的姿势。 | 趺
碑下的石座 | 趺
〔天～〕印度的古称。 | 竺
姓。 | 竺
古同“笃”，厚。 | 竺
张在屋内的帐幕 | 幔
古同“姊”。 | 姉
舀，把液体盛出来 | 挹
拉。 | 挹
古同“抑”，抑制，谦退。 | 挹
古同“揖”，作揖。 | 挹
用米粉或面粉搀和其他材料蒸制或烘烤而成的食品 | 糕
代表数目的符号 | 码
计算数量的用具 | 码
指一件事或一类的事 | 码
英美制长度单位，一码等于米。 | 码
堆叠 | 码
古同“玛”，玛瑙（亦作“码碯”）。 | 码
古代在人脸上刺字并涂墨之刑，后亦施于士兵以防逃跑 | 黥
在人体上刺文字或图案并涂上颜色。 | 黥
熟悉，精通 | 谙
熟记，背诵 | 谙
快乐，和乐 | 恺
妈妈，娘 | 母
对女性长辈的称呼 | 母
雌性的，与“公”相对 | 母
事物据以产生出来的 | 母
一套东西中间可以包含其他部分的 | 母
姓。 | 母
开 | 闿
古同“恺”，欢乐。 | 闿
呼喊 | 叫
证券，证明买卖、抵押、租赁等关系的文书 | 契
相合，相投 | 契
用刀雕刻 | 契
〔～机〕指事物转化的关键。 | 契
刻的文字，近代称甲骨文 | 契
古同“锲”，用刀子刻。 | 契
古人名，中国商朝的祖先，传说是舜的臣，助禹治水有功而封于商。 | 契
忍，受得住 | 耐
古同“奈”，奈何。 | 耐
整体里的一部 | 份
量词 | 份
用在“省、县、年、月”后面，表示划分的单位 | 份
古同“彬”，文质兼备。 | 份
遵守，依照沿袭 | 循
古同“巡”，巡行。 | 循
举，仰 | 抬
合力共举，提高 | 抬
双生，一胎两个 | 孪
应允，认可 | 许
承认其优点 | 许
预先答应给与 | 许
女方接受男方求亲 | 许
或者，可能 | 许
处，地方 | 许
表示约略估计的词 | 许
这样 | 许
中国周代诸侯国名，在今河南省许昌市东。 | 许
姓。 | 许
〔～～〕众人共同用力的声音。 | 许
（许） | 许
猛然炸裂并发出响声 | 爆
出人意料地出现或发生 | 爆
烹调方法，快速油烹 | 爆
鼓出来 | 爆
拉，伸 | 引
领，招来 | 引
拿来做证据、凭据或理由 | 引
退却 | 引
旧时长度单位，一引等于十丈。 | 引
古代柩车的绳索 | 引
昆虫、鸟兽的巢穴 | 窠
借指人安居或聚会的处所 | 窠
古同“颗”。 | 窠
〔～臼〕指文章所依据的老套子，陈旧的格调。 | 窠
古同“棵”。 | 窠
年 | 岁
一年的收成，年景 | 岁
年龄 | 岁
星名 | 岁
指时间，光阴 | 岁
昆虫，有“家蚕”和“柞（）蚕”，通常指“家蚕”，吃桑叶，吐丝做茧。丝可织绸缎。“柞蚕”吃柞树叶，丝可织茧绸 | 蚕
结合，订立 | 缔
创立 | 缔
禁止，约束 | 缔
众，许多 | 诸
“之于”或“之乎”的合音 | 诸
犹“之” | 诸
犹“于” | 诸
语助，无实在意义 | 诸
姓。 | 诸
隐藏，躲藏 | 匿
古同“丛”。 | 欉
懒惰，忪懈 | 怠
轻慢，不尊敬 | 怠
古书上说的一种香草（亦称“荃”）。 | 荪
地球绕太阳一周的时间 | 年
每年的 | 年
一年的开始 | 年
有关年节的（用品） | 年
时期，时代 | 年
收成 | 年
岁数 | 年
人一生所经年岁的分期 | 年
科举时代同年考中者的互称 | 年
姓。 | 年
小孩子。 | 崽
幼小的动物 | 崽
学堂，专门进行教育的机构 | 校
军衔的一级，在“将”之下，“尉”之上。 | 校
古代军队编制单位 | 校
比较 | 校
查对、订正 | 校
这，这个，此 | 兹
现在 | 兹
年 | 兹
古同“滋”，增益；多。 | 兹
古代称草席。 | 兹
〔龟（）～〕见“龟”。 | 兹
移植 | 莳
栽种 | 莳
〔～萝〕多年生草本植物，果实椭圆形，可做香料，亦称“小茴香”。 | 莳
（莳） | 莳
古代一种玉器，外边八角，中间圆形，常用作祭地的礼器。 | 琮
尖，锐利 | 剡
削，刮 | 剡
〔～溪〕水名，在中国浙江省。 | 剡
从云层中降落的水滴 | 雨
下雨，落下 | 雨
利用仪器来度量 | 测
检定，检验 | 测
料想 | 测
清 | 测
不要 | 莫
没有，无 | 莫
不，不能 | 莫
古同“漠”，广大。 | 莫
姓。 | 莫
古同“暮”。 | 莫
用来切、割、斩、削、砍、刺、铡的工具 | 刀
中国的纸张计量单位 | 刀
古代的一种钱币，因其形如刀故称 | 刀
姓。 | 刀
中国湖北省的别称。 | 鄂
古同“谔”，正直的话。 | 鄂
古同“愕”，惊讶。 | 鄂
古同“萼”，花托。 | 鄂
边界 | 鄂
姓。 | 鄂
体积变大 | 胀
数量增加 | 胀
身体内壁受到压迫而产生不舒服的感觉 | 胀
皮肤上起的小颗粒，通常是红色，多由皮肤表层发炎浸润而起 | 疹
散，解 | 泮
〔～池〕古代学宫前的水池。 | 泮
〔～宫〕古代的学校。 | 泮
〔～汗〕水广大的样子。 | 泮
姓。 | 泮
〔～苏〕义同“啰唆”、“啰嗦”（“苏”读轻声）。 | 噜
（噜） | 噜
心疑不定，不明白对还是不对 | 惑
使迷乱 | 惑
中国古代哲学认为宇宙中通贯所有物质的两大对立面诸一，与“阳”相对 | 阴
指“月亮” | 阴
带负电的 | 阴
云层较厚，遮住阳光 | 阴
不见阳光，亦指不见阳光的地方 | 阴
不露出表面的，暗中的 | 阴
背地捣鬼，险恶 | 阴
指冥间 | 阴
凹进的 | 阴
指时间 | 阴
生殖器 | 阴
姓。 | 阴
医治 | 疗
〔～城〕地名，在中国山东省。 | 郯
接连 | 毗
辅助 | 毗
损坏，败坏 | 毗
从生物体内产生出某种物质，流质由细孔渗透出来 | 泌
泉流轻快的样子。 | 泌
分开 | 划
设计 | 划
用桨拨水使船行动 | 划
合算，按利益情况计较是否相宜 | 划
用刀或其它东西把物件分开或从物件上面擦过 | 划
依照事物的类别、系统制的表册 | 谱
记录音乐、棋局等的符号或图形 | 谱
编写歌谱 | 谱
指特定范围内的任何一个或一组 | 每
指特定范围内逐一出现的任何一次 | 每
虽 | 每
古同“们”，中国宋元代口语。 | 每
鸟名，即天鹅，像鹅而大，羽毛白色，飞得高而快，生活在水边 | 鹄
射箭的靶子。鹄的箭靶子的中心，练习射击的目标。 | 鹄
亮，与“暗”相对 | 明
清楚 | 明
懂得，了解 | 明
公开，不隐蔽 | 明
能够看清事物 | 明
睿智 | 明
视觉，眼力 | 明
神灵，泛指祭神供神之物 | 明
次（专指日或年） | 明
中国朝代名 | 明
姓。 | 明
物体振动 | 颤
同“战”。 | 颤
封建制度下供奉祖宗、鬼神或有功德的人的房屋 | 祠
古代指春祭（品物少，多文词）。 | 祠
美好（多用于人名）。 | 赟
姓。 | 裴
〔～匐〕爬，手足并行，如“～匐前进”；竭力，如“凡民有丧，～匐救之”；趴，如“有些植物的茎～匐在地面上”。均亦作“匍伏”。 | 匍
口腔里的消化液 | 唾
啐，从嘴里吐出来 | 唾
构成地壳的矿物质硬块 | 石
指石刻 | 石
指古代用来治病的针 | 石
中国古代乐器八音之一。 | 石
姓。 | 石
中国市制容量单位，十斗为一石。 | 石
水深之处 | 潭
深 | 潭
溶化，散失 | 消
灭掉，除去 | 消
把时间度过去 | 消
减少，损失，耗费 | 消
需要 | 消
中医学病名 | 消
鸟，羽毛灰白色或黑色，嘴长而直，形似白鹤，生活在江、湖、池沼的近旁，捕食鱼虾等。 | 鹳
不包含什么，没有内容 | 空
没有结果的，白白地 | 空
离开地面的，在地上面的地方 | 空
使空，腾出来 | 空
闲着，没被利用的 | 空
亏欠 | 空
古同“孔”，洞。 | 空
一种薄而软的丝织品 | 绸
束缚，缠绕 | 绸
古同“稠”，致密。 | 绸
洗 | 浣
中国唐代定制，官吏十天一次休息沐浴，每月分为上、中、下浣，后借作上旬、中旬、下旬的别称。 | 浣
天，天空；又特指秋季的天 | 旻
妇女的一种首饰，由两股簪子合成 | 钗
利用风力使船前进的布篷 | 帆
天将明。 | 晗
古同“闵”，古代谥号用字。 | 湣
昏乱 | 湣
缠 | 绕
纠缠，弄迷糊 | 绕
走弯曲迂回的路 | 绕
围着转 | 绕
同“强”。 | 彊
同“强”。 | 彊
同“强”。 | 彊
〔～垯〕小球形或块状的东西，如“泥～垯”；小土丘，多用于地名（“垯”均读轻声）。 | 圪
晒 | 曝
〔～光〕使感光纸或摄影胶片感光。 | 曝
退避，退让 | 逊
谦让，恭顺 | 逊
次，差，不及 | 逊
用压力使排出 | 挤
互相推、拥，用身体排开人或物 | 挤
排斥 | 挤
许多人或物紧紧挨着，许多事情集中在同一时间内 | 挤
问，征求意见 | 询
古同“埠”，码头。 | 埗
煨煮食品使烂 | 炖
把茶或酒盛在碗里，再把碗放在水里加热 | 炖
全，广，遍 | 普
趋向同一个方向，与“逆”相对 | 顺
沿，循 | 顺
依次往后 | 顺
随，趁便 | 顺
整理 | 顺
服从，不违背 | 顺
适合，不别扭 | 顺
姓。 | 顺
篇，张（指书、画、纸等） | 页
量词，旧指单面印刷的一纸，今多指双面印刷的一面。 | 页
希望得到 | 觊
〔茱～〕见“茱”。 | 萸
愚笨，笨拙 | 蠢
虫子蠕动 | 蠢
对死者表示追悼、敬意的仪式 | 祭
供奉鬼神或祖先 | 祭
使用（法宝） | 祭
姓。 | 祭
旗子 | 帜
〔～裟〕僧尼披在外面的一种法衣。 | 袈
多年生草本植物，生在浅水里，嫩茎称“茭白”、“蒋”，可做蔬菜。果实称“菰米”，“雕胡米”，可煮食。 | 菰
同“菇”。 | 菰
铸、刻或写在器物上记述生平、事迹或警诫自己的文字 | 铭
在器物上刻字，表示纪念，永志不忘 | 铭
中国古代用于铭刻的文字逐步形成的一种文体，如《文心雕龙》有《铭箴》篇。 | 铭
〔饕～〕见“饕”。 | 餮
古同“炜”。 | 暐
矮墙，墙 | 垣
城 | 垣
官署 | 垣
星的区域，古代把众星分为上、中、下三垣。 | 垣
姓。 | 垣
大波 | 浪
像波浪起伏的 | 浪
没有约束，放纵 | 浪
马、猪等畜类颈上的长毛 | 鬃
出代价暂用别人的东西 | 租
收取一定的代价，把房屋、土地、器物等借给别人使用 | 租
出租所收取的钱或实物 | 租
田赋 | 租
日本地名用字。汉。 | 榊
水道，特指人工开的河道或水沟 | 渠
大 | 渠
方言，他 | 渠
车辋，古代车轮的外圈。 | 渠
岂 | 渠
古同“穗”。 | 穂
鸟类的一属，全身白色或灰色，生活在水边，吃鱼、昆虫或植物 | 鹤
长官 | 酋
（盗匪、侵略者的）首领 | 酋
酒熟。 | 酋
古代对造酒的女奴的称谓。 | 酋
液体受冲击向四外飞射 | 溅
见“浅”。 | 溅
烙饼或做菜用的平底浅锅 | 铛
温器 | 铛
同“当”。 | 铛
空阔 | 旷
开朗，心境阔大 | 旷
相互配合的东西之间空隙过大 | 旷
荒废，耽误 | 旷
长时间所无 | 旷
姓。 | 旷
〔玻～〕见“玻”。 | 璃
〔琉～〕见“琉”。 | 璃
说，谈 | 讲
把事情和道理说出来 | 讲
注重某一方面，并设法使它实现 | 讲
和解 | 讲
商量，商议 | 讲
阶级社会中受压迫、剥削、役使的没有人身自由的人 | 奴
像对待奴隶那样地 | 奴
使人甘受奴役地 | 奴
天空的电光 | 闪
突然显现 | 闪
侧转体躲避 | 闪
因动作过猛，使一部分筋肉受伤而疼痛 | 闪
姓。 | 闪
规矩，法式 | 程
进展，限度 | 程
道路的段落 | 程
衡量，考核 | 程
姓。 | 程
美玉。 | 瑜
〔～伽〕大乘佛教的派别之一，称“瑜伽宗”；印度哲学的一派，此派注重调息、静坐等修行方法。 | 瑜
玉的光泽，喻优点 | 瑜
脊椎动物的一纲，温血卵生，全身有羽毛，后肢能行走，前肢变为翅，一般能飞 | 鸟
传送，传达 | 递
顺着次序 | 递
古代指驿车。 | 递
八卦之一 | 坤
称女性的 | 坤
种子植物的一属，一般为常绿乔木，脂可提取松香或松节油等。种子可榨油和食用 | 松
稀散，不紧密，不靠拢，与“紧”相对 | 松
放开 | 松
用瘦肉做成的茸毛或碎末形的食品 | 松
姓。 | 松
病，身体不舒适 | 疾
一般的痛苦 | 疾
疼痛 | 疾
恨 | 疾
古同“嫉”，妒忌。 | 疾
弊病，缺点 | 疾
快，迅速 | 疾
猪 | 豕
过时的，与“新”相对 | 旧
东西因经过长时间而变了样子 | 旧
原先曾有过的，过去很长时间的 | 旧
有交情，有交情的人 | 旧
撞击 | 碰
相遇 | 碰
试探 | 碰
弓袋。 | 弢
囊；套子。 | 弢
同“韬”。 | 弢
幼小 | 稚
照耀 | 煜
〔～～〕明亮的样子，如“岭上疏星明～～”。 | 煜
火焰 | 煜
古代行政区域，中国秦代以前比县小，从秦代起比县大 | 郡
从表面到底或从外面到里面距离大，与“浅”相对 | 深
从表面到底的距离 | 深
久，时间长 | 深
程度高的 | 深
颜色浓 | 深
全部充实，没有余地 | 满
到了一定的限度 | 满
骄傲，不虚心 | 满
十分，全 | 满
使满，斟酒 | 满
中国少数民族，主要分布于辽宁、黑龙江、吉林、河北等省和北京市、内蒙古自治区 | 满
姓。 | 满
吐 | 呕
〔～哑〕形容管弦乐曲、婴儿说话、摇橹、鸟鸣等声音，如“～哑学语”、“～哑管弦”。 | 呕
古同“讴”，歌颂。 | 呕
